source,target,value,shortname
Europe,Agricultural products,1798.23,Europe
Africa,Agricultural products,168.419,Africa
Asia,Agricultural products,736.425,Asia
North America,Agricultural products,109.507,North America
Other countries,Agricultural products,439.512,Other countries
South America,Agricultural products,671.941,South America
Europe,Chemicals,1158.884,Europe
Africa,Chemicals,25.71,Africa
Asia,Chemicals,804.119,Asia
North America,Chemicals,86.076,North America
Other countries,Chemicals,88.522,Other countries
South America,Chemicals,38.406,South America
Europe,Oil and fuel,59.412,Europe
Africa,Oil and fuel,6.429,Africa
Asia,Oil and fuel,31.869,Asia
North America,Oil and fuel,2.177,North America
Other countries,Oil and fuel,1.849,Other countries
South America,Oil and fuel,0.646,South America
Europe,Groupage,1115.612,Europe
Africa,Groupage,61.648,Africa
Asia,Groupage,776.833,Asia
North America,Groupage,88.19,North America
Other countries,Groupage,114.679,Other countries
South America,Groupage,128.47,South America
Europe,Machinery,380.818,Europe
Africa,Machinery,3.066,Africa
Asia,Machinery,958.481,Asia
North America,Machinery,36.379,North America
Other countries,Machinery,20.585,Other countries
South America,Machinery,13.597,South America
Europe,Building materials,546.794,Europe
Africa,Building materials,18.842,Africa
Asia,Building materials,297.166,Asia
North America,Building materials,29.54,North America
Other countries,Building materials,54.251,Other countries
South America,Building materials,19.855,South America
Europe,Waste,687.988,Europe
Africa,Waste,0.851,Africa
Asia,Waste,4.373,Asia
North America,Waste,73.126,North America
Other countries,Waste,9.223,Other countries
South America,Waste,11.881,South America
Europe,Wood and textiles,3712.466,Europe
Africa,Wood and textiles,77.997,Africa
Asia,Wood and textiles,1008.861,Asia
North America,Wood and textiles,174.707,North America
Other countries,Wood and textiles,51.725,Other countries
South America,Wood and textiles,98.366,South America
Agricultural products,Belgium ,34.173,Agricultural products
Agricultural products,Brazil ,7.92,Agricultural products
Agricultural products,China ,369.09,Agricultural products
Agricultural products,Egypt ,30.863,Agricultural products
Agricultural products,Finland ,59.53,Agricultural products
Agricultural products,France ,89.394,Agricultural products
Agricultural products,Germany ,133.158,Agricultural products
Agricultural products,Greece ,40.808,Agricultural products
Agricultural products,Hongkong ,77.347,Agricultural products
Agricultural products,India ,16.38,Agricultural products
Agricultural products,Indonesia ,14.615,Agricultural products
Agricultural products,Ireland ,139.128,Agricultural products
Agricultural products,Japan ,77.648,Agricultural products
Agricultural products,Latvia ,24.036,Agricultural products
Agricultural products,Lithuania ,43.362,Agricultural products
Agricultural products,Malaysia ,48.397,Agricultural products
Agricultural products,Netherlands ,95.024,Agricultural products
Agricultural products,Norway ,162.067,Agricultural products
Agricultural products,Other countries ,377.177,Agricultural products
Agricultural products,Pakistan ,3.765,Agricultural products
Agricultural products,Poland ,36.538,Agricultural products
Agricultural products,Portugal ,97.54,Agricultural products
Agricultural products,Russia ,753.578,Agricultural products
Agricultural products,Saudi Arabia ,70.344,Agricultural products
Agricultural products,Singapore ,82.191,Agricultural products
Agricultural products,South Korea ,59.775,Agricultural products
Agricultural products,Spain ,213.778,Agricultural products
Agricultural products,Sri Lanka ,34.332,Agricultural products
Agricultural products,Sweden ,89.741,Agricultural products
Agricultural products,Taiwan ,28.696,Agricultural products
Agricultural products,Thailand ,25.792,Agricultural products
Agricultural products,Turkey ,19.922,Agricultural products
Agricultural products,UAE ,50.515,Agricultural products
Agricultural products,United Kingdom ,290.818,Agricultural products
Agricultural products,USA ,158.972,Agricultural products
Agricultural products,Vietnam ,67.62,Agricultural products
Chemicals,Belgium ,12.092,Chemicals
Chemicals,Brazil ,36.762,Chemicals
Chemicals,China ,167.705,Chemicals
Chemicals,Egypt ,9.198,Chemicals
Chemicals,Finland ,45.535,Chemicals
Chemicals,France ,36.224,Chemicals
Chemicals,Germany ,36.575,Chemicals
Chemicals,Greece ,14.803,Chemicals
Chemicals,Hongkong ,9.177,Chemicals
Chemicals,India ,96.995,Chemicals
Chemicals,Indonesia ,46.404,Chemicals
Chemicals,Ireland ,74.825,Chemicals
Chemicals,Japan ,22.525,Chemicals
Chemicals,Latvia ,22.03,Chemicals
Chemicals,Lithuania ,21.18,Chemicals
Chemicals,Malaysia ,52.568,Chemicals
Chemicals,Netherlands ,91.368,Chemicals
Chemicals,Norway ,67.397,Chemicals
Chemicals,Other countries ,189.872,Chemicals
Chemicals,Pakistan ,7.393,Chemicals
Chemicals,Poland ,49.22,Chemicals
Chemicals,Portugal ,68.051,Chemicals
Chemicals,Russia ,176.293,Chemicals
Chemicals,Saudi Arabia ,19.724,Chemicals
Chemicals,Singapore ,88.523,Chemicals
Chemicals,South Korea ,39.401,Chemicals
Chemicals,Spain ,54.312,Chemicals
Chemicals,Sri Lanka ,19.271,Chemicals
Chemicals,Sweden ,69.261,Chemicals
Chemicals,Taiwan ,18.761,Chemicals
Chemicals,Thailand ,73.197,Chemicals
Chemicals,Turkey ,38.602,Chemicals
Chemicals,UAE ,38.98,Chemicals
Chemicals,United Kingdom ,271.024,Chemicals
Chemicals,USA ,56.855,Chemicals
Chemicals,Vietnam ,59.614,Chemicals
Oil and fuel,Belgium ,0.152,Oil and fuel
Oil and fuel,Brazil ,0.023,Oil and fuel
Oil and fuel,China ,3.199,Oil and fuel
Oil and fuel,Egypt ,0.043,Oil and fuel
Oil and fuel,Finland ,0.679,Oil and fuel
Oil and fuel,France ,0.261,Oil and fuel
Oil and fuel,Germany ,2.77,Oil and fuel
Oil and fuel,Greece ,2.133,Oil and fuel
Oil and fuel,Hongkong ,0.141,Oil and fuel
Oil and fuel,India ,8.624,Oil and fuel
Oil and fuel,Indonesia ,0.117,Oil and fuel
Oil and fuel,Ireland ,0.856,Oil and fuel
Oil and fuel,Japan ,2.744,Oil and fuel
Oil and fuel,Latvia ,0.281,Oil and fuel
Oil and fuel,Lithuania ,0.087,Oil and fuel
Oil and fuel,Malaysia ,2.591,Oil and fuel
Oil and fuel,Netherlands ,1.209,Oil and fuel
Oil and fuel,Norway ,29.667,Oil and fuel
Oil and fuel,Other countries ,7.611,Oil and fuel
Oil and fuel,Pakistan ,0.158,Oil and fuel
Oil and fuel,Poland ,1.131,Oil and fuel
Oil and fuel,Portugal ,0.534,Oil and fuel
Oil and fuel,Russia ,3.962,Oil and fuel
Oil and fuel,Saudi Arabia ,0.937,Oil and fuel
Oil and fuel,Singapore ,2.608,Oil and fuel
Oil and fuel,South Korea ,0.06,Oil and fuel
Oil and fuel,Spain ,6.344,Oil and fuel
Oil and fuel,Sri Lanka ,1.551,Oil and fuel
Oil and fuel,Sweden ,11.745,Oil and fuel
Oil and fuel,Taiwan ,0.082,Oil and fuel
Oil and fuel,Thailand ,0.426,Oil and fuel
Oil and fuel,Turkey ,0.154,Oil and fuel
Oil and fuel,UAE ,1.126,Oil and fuel
Oil and fuel,United Kingdom ,6.261,Oil and fuel
Oil and fuel,USA ,1.185,Oil and fuel
Oil and fuel,Vietnam ,0.928,Oil and fuel
Groupage,Belgium ,15.166,Groupage
Groupage,Brazil ,26.695,Groupage
Groupage,China ,156.845,Groupage
Groupage,Egypt ,25.811,Groupage
Groupage,Finland ,71.619,Groupage
Groupage,France ,61.009,Groupage
Groupage,Germany ,52.625,Groupage
Groupage,Greece ,14.219,Groupage
Groupage,Hongkong ,14.071,Groupage
Groupage,India ,69.111,Groupage
Groupage,Indonesia ,13.091,Groupage
Groupage,Ireland ,121.278,Groupage
Groupage,Japan ,34.029,Groupage
Groupage,Latvia ,17.479,Groupage
Groupage,Lithuania ,14.612,Groupage
Groupage,Malaysia ,25,Groupage
Groupage,Netherlands ,82.227,Groupage
Groupage,Norway ,96.904,Groupage
Groupage,Other countries ,243.173,Groupage
Groupage,Pakistan ,13.623,Groupage
Groupage,Poland ,32.607,Groupage
Groupage,Portugal ,88.313,Groupage
Groupage,Russia ,223.748,Groupage
Groupage,Saudi Arabia ,18.884,Groupage
Groupage,Singapore ,61.217,Groupage
Groupage,South Korea ,39.861,Groupage
Groupage,Spain ,99.005,Groupage
Groupage,Sri Lanka ,20.992,Groupage
Groupage,Sweden ,100.584,Groupage
Groupage,Taiwan ,27.611,Groupage
Groupage,Thailand ,8.767,Groupage
Groupage,Turkey ,23.293,Groupage
Groupage,UAE ,38.084,Groupage
Groupage,United Kingdom ,251.698,Groupage
Groupage,USA ,68.004,Groupage
Groupage,Vietnam ,14.213,Groupage
Machinery,Belgium ,10.141,Machinery
Machinery,Brazil ,7.07,Machinery
Machinery,China ,60.413,Machinery
Machinery,Egypt ,3.436,Machinery
Machinery,Finland ,83.691,Machinery
Machinery,France ,64.002,Machinery
Machinery,Germany ,17.499,Machinery
Machinery,Greece ,3.132,Machinery
Machinery,Hongkong ,5.571,Machinery
Machinery,India ,4.246,Machinery
Machinery,Indonesia ,3.081,Machinery
Machinery,Ireland ,90.429,Machinery
Machinery,Japan ,11.789,Machinery
Machinery,Latvia ,28.232,Machinery
Machinery,Lithuania ,10.712,Machinery
Machinery,Malaysia ,9.705,Machinery
Machinery,Netherlands ,52.729,Machinery
Machinery,Norway ,71.878,Machinery
