source,target,value
Argentina,Agricultural products,101.304
Argentina,Chemicals,3.405
Argentina,Oil and fuel,0.058
Argentina,Groupage,17.907
Argentina,Machinery,0.195
Argentina,Building materials,0.401
Argentina,Waste,0.142
Argentina,Wood and textiles,1.266
Brazil,Agricultural products,265.949
Brazil,Chemicals,25.303
Brazil,Oil and fuel,0.093
Brazil,Groupage,68.093
Brazil,Machinery,7.856
Brazil,Building materials,15.766
Brazil,Waste,7.526
Brazil,Wood and textiles,55.802
Canada,Agricultural products,43.244
Canada,Chemicals,18.997
Canada,Oil and fuel,0.067
Canada,Groupage,31.975
Canada,Machinery,4.626
Canada,Building materials,1.026
Canada,Waste,66.456
Canada,Wood and textiles,38.332
Chile,Agricultural products,103.033
Chile,Chemicals,0.986
Chile,Oil and fuel,0.021
Chile,Groupage,10.087
Chile,Machinery,0.179
Chile,Building materials,1.97
Chile,Waste,0.729
Chile,Wood and textiles,18.993
China,Agricultural products,208.51
China,Chemicals,363.011
China,Oil and fuel,26.276
China,Groupage,464.461
China,Machinery,625.142
China,Building materials,199.812
China,Waste,1.045
China,Wood and textiles,586.685
Denmark,Agricultural products,96.247
Denmark,Chemicals,4.036
Denmark,Oil and fuel,0.017
Denmark,Groupage,13.021
Denmark,Machinery,5.831
Denmark,Building materials,14.914
Denmark,Waste,1.858
Denmark,Wood and textiles,3.086
Estonia,Agricultural products,23.155
Estonia,Chemicals,11.514
Estonia,Oil and fuel,1.393
Estonia,Groupage,27.067
Estonia,Machinery,2.077
Estonia,Building materials,24.328
Estonia,Waste,7.068
Estonia,Wood and textiles,95.868
Finland,Agricultural products,126.851
Finland,Chemicals,19.529
Finland,Oil and fuel,5.401
Finland,Groupage,67.989
Finland,Machinery,59.874
Finland,Building materials,50.115
Finland,Waste,7.013
Finland,Wood and textiles,991.306
France,Agricultural products,63.865
France,Chemicals,17.51
France,Oil and fuel,0.834
France,Groupage,23.425
France,Machinery,3.868
France,Building materials,9.278
France,Waste,7.234
France,Wood and textiles,12.573
Germany,Agricultural products,37.655
